Application,Attributes,Automatic,Brand Name,Brooches Type,Buttom Base,Capacity,Category,Certifications,Closure,Coating,Coating Side,Color,Company Name,Computerized,Condition,Control Mode,Control System,Currency,Customization,Customized,Decoration Material,Delivery Time,Design,Diameter,Dimension (L*W*H),Dimension(L*W*H),Drawing,Dress Type,Ethnic Region,FOB Port,Fabric Type,Feature,Features,Foundation,Frequency,GSTIN,Gender,Gender/Age Group,General Use,Grade,Heat Resistance,Height,Industrial Use,Installation Type,Jewelry Main Material,Jewelry Type,Length,Logo,Logo Pattern,MRP,Main Domestic Market,Main Export Market(s),Material,Metals Type,Minimum Order Quantity,Minimum Ordered Packs,Mop,Moq,Mounting Type,Noise Level,Occasion,Packaging Details,Packsize,Pattern,Pattern Type,Payment Terms,Phase,Pkg Box Breadth,Pkg Box Height,Pkg Box Length,Plastic Type,Plating,Power,Price,Price Type,Processing,Product Link,Product Name,Product Type,Product Unit,QC System,Returnable,Sample Available,Sample Policy,Sealing and Handle,Season,Shape,Shipping Type,Size,Sleeve Style,Stock Quantity,Storage / Tankless,Style,Supply Ability,Surface Finishing,Surface Materials,Surface Treatment,Technics,Temperature,Temperature Resistance,Tensile Strength,Texture,Thickness,Tightness,Tolerance,Touch Screen,Transparency,Type,Unit Type,Usage,Usage & Applications,Use,Vehicle Type,Voltage,Volume (L),Wall Thickness,Warranty,Weight,Weight (kg),Width,Work Type
,,,P-SQUARE TECHNOLOGIES,,,,Water Storage Tanks,,,,,,P-SQUARE TECHNOLOGIES,,,,,INR,,,,3-2 Week,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,Australia Eastern Europe Middle East Africa Central America South America Western Europe Asia North America,Steel,,1,1,1,1,,,,,1,,,,,,,,,,,20000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/steel-storage-vessels-c2281601.html,"Steel Storage Vessel - Stainless Steel 304, 10 Ton Capacity, Silver Color | Durable, Leakage-free, Easy to Clean and Maintain",,10 Piece/Pieces,,No,,,,,,,,,55,,,1 Per Week,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,LABH PROJECTS PVT. LTD.,,,,Water Storage Tanks,ISO 9001-2015 CE,,,,,LABH PROJECTS PVT. LTD.,,,,,INR,,,,30 Days,,,,,,,,india,,,,,,0%,,,,,,,,,,,,,,,All India,Western Europe Australia North America Eastern Europe Middle East Central America South America Asia Africa,,,1,1,1,1,,,,Sea Worthy Wooden Export Packing,1,,,Letter of Credit (L/C) Letter of Credit at Sight (Sight L/C) Cash Against Delivery (CAD) Telegraphic Transfer (T/T),,,,,,,,1500000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/stainless-steel-vertical-horizontal-storage-tank-for-ro-water-c6589390.html,Stainless steel vertical & horizontal storage tank for RO water,,1 Piece/Pieces,,No,,Contact us for information regarding our sample policy,,,,,,,15,,,,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,CRYSTAL IMPEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/nexlin-storage-waste-water-tank-c10217144.html,Nexlin storage waste water tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,THE BOMBAY ENGINEERING WORKS,,,500 liters,Water Storage Tanks,,,,,Silver,THE BOMBAY ENGINEERING WORKS,No,,Manual,,INR,,,,,,,1000x800x1500 mm,,,,,,,,Corrosion-resistant,,50Hz,0%,,,,,,,,,,,,,,,,,Stainless Steel,,1,1,1,1,,Low,,,1,,,,Single Phase,,,,,,2 kW,100000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/dm-water-storage-tank-c7253375.html,"DM Water Storage Tank - High-Density Polyethylene, 2000 Liters Capacity | UV Resistant, Corrosion-Resistant Design, Easy Installation",,2,,No,,,,,,,,,25,,,,,,,,Up to 100AdegC,,,,,,,,,Vertical Tank Other,,,DM Water Storage,,,220V,,,1 Year,,120 kg,,
,,,Sintex,,,,Water Storage Tanks,,,,,Black,DARSHIT TRADING COMPANY,,,,,INR,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Plastic,,60,60,60,60,,,,,1,,,Cash Advance (CA) Cash in Advance (CID),,,,,LLDPE,,,4250.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/sintex-black-water-storage-tank-c7685132.html,Plastic Sintex Black Double Wall Water Storage Tank,,60 Unit/Units,,No,,,,,Cylindrical,,,,180,,,,,,,,,,,,,,,,,,Unit/Units,,,,,,500 to 25000 Liter (L),,,,,,
,,,,,,,Water Storage Tanks,,,,,Black & White,MAMATA ROOFINGS,,,,,,,,,4-5 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic,,,,,,,,,,,,,,,,,,ABS,,,,,,https://www.tradeindia.com/products/plastic-water-storage-tanks-c8762966.html,Black & White Plastic Water Storage Tanks,,,,,,,,,Cylindrical,,,,,,,1000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,Silver,DPL VALVES & SYSTEMS PVT. LTD.,,,,,,,,,7 Days,,,,,,,,,,,,,,,,,,S.S. 304 / S.S. 316 / S.S. 316 L,,,,,,,,,,,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/stainless-steel-purified-water-storage-tank-c10831177.html,Stainless Steel Purified Water Storage Tank - Color: Silver,,,,,,,,,Round,,Standard,,,,,1000 Per Month,,,Other Polished,,,,,,,,,,,,,Industrial,,,,,,,,,,,
Industrial,,,BOTTMAC INDIA PRIVATE LIMITED,,,,Water Storage Tanks,,,,,Silver,BOTTMAC INDIA PRIVATE LIMITED,,NEW,,,INR,,,,15 Days,,,,,,,,,,,,,,0%,,,,Industrial,,,,,,,,,,,All India,,Stainless Steel,,1,1,1,1,,,,Packed in As per Industry Standard,,,,Delivery Point (DP) Days after Acceptance (DA) Cheque,,,,,,,,200000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/stainless-steel-storage-tanks-5262838.html,"Stainless Steel Storage Tanks - New Standard Size, Silver Finish | Industrial Liquid Storage, Round Shape, Quality Approved",Storage Tanks,1 Piece/Pieces,,No,,Contact us for information regarding our sample policy,,,Round,,Standard,,5,,,,,,,,,,,,,,,,,,Piece/Pieces,Liquid storage,,,,,,,,,,,
,,,SUNZONE SOLAR SYSTEM INDIA PRIVATE LIMITED,,,,Water Storage Tanks,,,,,Grey,SUNZONE SOLAR SYSTEM INDIA PRIVATE LIMITED,,,,,INR,,,,,,,,,,,,,,,,,,0%,,,,,,,,Free standing,,,,,,,South India,,Stainless Steel,,1,1,1,1,,,,,1,,,,,,,,,,,55000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/stainless-steel-storage-tank-flat-plate-collector-solar-water-heater-c5992890.html,Stainless Steel Storage Tank Flat Plate Collector Solar Water Heater - Color: Grey,,1 Piece/Pieces,,No,,,,,,,,,15,Storage,,,,,,,,,,,,,,,,Solar,Piece/Pieces,,,,,,,,,,,,
Water Storage,,,IVS ENTERPRISES,,,1000 Liter/day,Water Storage Tanks,,,,,Black,IVS ENTERPRISES,,NEW,,,INR,,,,3 Days,,12 Inch (in),00 Inch (in),,,,,,,,,,,0%,,,,00,,00 Inch (in),,,,,00 Inch (in),,,,All India,,Plastic,,1,1,1,1,,,,As Per Industry Standard,1,,,Others Cash Advance (CA) Cash in Advance (CID),,,,,PVC,,,75000.00 INR (Approx.),fixed,00,https://www.tradeindia.com/products/1000-liter-storage-matte-finished-plain-frp-water-storage-tank-8339283.html,"PVC Water Storage Tank - 12 Inch Diameter, 1000 Liter Capacity | Matte Black Finish, Cylindrical Design, 30 MPa Tensile Strength, 10.3mm Thickness",Water Storage Tank,5 Piece/Pieces,,No,,Contact us for information regarding our sample policy,,,Cylindrical,,00,,15,,,5 Per Week,,PVC,,,,,30 Megapascals (MPa ),,10.3 Millimeter (mm),,00 Square Feet,,,,Piece/Pieces,Water Storage,,,,,1000 Liter (L),,,00 Pound (lb),,00 Inch (in),
