application,brand_name,capacity,category,closure,color,company_name,condition,currency,delivery_time,design,fob_port,fabric_type,feature,gstin,gender,grade,main_domestic_market,main_export_market(s),material,minimum_order_quantity,minimum_ordered_packs,mop,moq,occasion,packaging_details,packsize,pattern,payment_terms,plastic_type,price,price_type,product_link,product_name,product_type,product_unit,returnable,sample_available,sample_policy,season,shape,size,stock_quantity,style,supply_ability,surface_materials,type,unit_type,usage,volume_(l),weight,work_type,is_stainless,product_name_clean,capacity_liters,row_num
,P-SQUARE TECHNOLOGIES,,Water Storage Tanks,,,P-SQUARE TECHNOLOGIES,,INR,3-2 Week,,,,,0%,,,All India,Australia Eastern Europe Middle East Africa Central America South America Western Europe Asia North America,Steel,1,1,1,1,,,1,,,,20000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/steel-storage-vessels-c2281601.html,"Steel Storage Vessel - Stainless Steel 304, 10 Ton Capacity, Silver Color | Durable, Leakage-free, Easy to Clean and Maintain",,10 Piece/Pieces,False,,,,,,55,,1 Per Week,,,Piece/Pieces,,,,,True,steel storage vessel  stainless steel 304 10 ton capacity silver color  durable leakagefree easy to clean and maintain,,1
,LABH PROJECTS PVT. LTD.,,Water Storage Tanks,,,LABH PROJECTS PVT. LTD.,,INR,30 Days,,india,,,0%,,,All India,Western Europe Australia North America Eastern Europe Middle East Central America South America Asia Africa,,1,1,1,1,,Sea Worthy Wooden Export Packing,1,,Letter of Credit (L/C) Letter of Credit at Sight (Sight L/C) Cash Against Delivery (CAD) Telegraphic Transfer (T/T),,1500000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/stainless-steel-vertical-horizontal-storage-tank-for-ro-water-c6589390.html,Stainless steel vertical & horizontal storage tank for RO water,,1 Piece/Pieces,False,,Contact us for information regarding our sample policy,,,,15,,,,,Piece/Pieces,,,,,True,stainless steel vertical  horizontal storage tank for ro water,,2
,,,Water Storage Tanks,,,CRYSTAL IMPEX,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/nexlin-storage-waste-water-tank-c10217144.html,Nexlin storage waste water tank,,,,,,,,,,,,,,,,,,,False,nexlin storage waste water tank,,3
,THE BOMBAY ENGINEERING WORKS,500 liters,Water Storage Tanks,,Silver,THE BOMBAY ENGINEERING WORKS,,INR,,,,,,0%,,,,,Stainless Steel,1,1,1,1,,,1,,,,100000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/dm-water-storage-tank-c7253375.html,"DM Water Storage Tank - High-Density Polyethylene, 2000 Liters Capacity | UV Resistant, Corrosion-Resistant Design, Easy Installation",,2,False,,,,,,25,,,,Vertical Tank Other,,,,,,True,dm water storage tank  highdensity polyethylene 2000 liters capacity  uv resistant corrosionresistant design easy installation,500.0,4
,Sintex,,Water Storage Tanks,,Black,DARSHIT TRADING COMPANY,,INR,,,,,,0%,,,All India,,Plastic,60,60,60,60,,,1,,Cash Advance (CA) Cash in Advance (CID),LLDPE,4250.00 INR (Approx.),fixed,https://www.tradeindia.com/products/sintex-black-water-storage-tank-c7685132.html,Plastic Sintex Black Double Wall Water Storage Tank,,60 Unit/Units,False,,,,Cylindrical,,180,,,,,Unit/Units,,500 to 25000 Liter (L),,,False,plastic sintex black double wall water storage tank,,5
,,,Water Storage Tanks,,Black & White,MAMATA ROOFINGS,,,4-5 Days,,,,,,,,,,Plastic,,,,,,,,,,ABS,,,https://www.tradeindia.com/products/plastic-water-storage-tanks-c8762966.html,Black & White Plastic Water Storage Tanks,,,,,,,Cylindrical,,,,1000 Per Month,,,,,,,,False,black  white plastic water storage tanks,,6
,,,Water Storage Tanks,,Silver,DPL VALVES & SYSTEMS PVT. LTD.,,,7 Days,,,,,,,S.S. 304 / S.S. 316 / S.S. 316 L,,,Stainless Steel,,,,,,,,,,,,,https://www.tradeindia.com/products/stainless-steel-purified-water-storage-tank-c10831177.html,Stainless Steel Purified Water Storage Tank - Color: Silver,,,,,,,Round,Standard,,,1000 Per Month,,,,Industrial,,,,True,stainless steel purified water storage tank  color silver,,7
Industrial,BOTTMAC INDIA PRIVATE LIMITED,,Water Storage Tanks,,Silver,BOTTMAC INDIA PRIVATE LIMITED,NEW,INR,15 Days,,,,,0%,,Industrial,All India,,Stainless Steel,1,1,1,1,,Packed in As per Industry Standard,,,Delivery Point (DP) Days after Acceptance (DA) Cheque,,200000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/stainless-steel-storage-tanks-5262838.html,"Stainless Steel Storage Tanks - New Standard Size, Silver Finish | Industrial Liquid Storage, Round Shape, Quality Approved",Storage Tanks,1 Piece/Pieces,False,,Contact us for information regarding our sample policy,,Round,Standard,5,,,,,Piece/Pieces,Liquid storage,,,,True,stainless steel storage tanks  new standard size silver finish  industrial liquid storage round shape quality approved,,8
,SUNZONE SOLAR SYSTEM INDIA PRIVATE LIMITED,,Water Storage Tanks,,Grey,SUNZONE SOLAR SYSTEM INDIA PRIVATE LIMITED,,INR,,,,,,0%,,,South India,,Stainless Steel,1,1,1,1,,,1,,,,55000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/stainless-steel-storage-tank-flat-plate-collector-solar-water-heater-c5992890.html,Stainless Steel Storage Tank Flat Plate Collector Solar Water Heater - Color: Grey,,1 Piece/Pieces,False,,,,,,15,,,,Solar,Piece/Pieces,,,,,True,stainless steel storage tank flat plate collector solar water heater  color grey,,9
Water Storage,IVS ENTERPRISES,1000 Liter/day,Water Storage Tanks,,Black,IVS ENTERPRISES,NEW,INR,3 Days,,,,,0%,,00,All India,,Plastic,1,1,1,1,,As Per Industry Standard,1,,Others Cash Advance (CA) Cash in Advance (CID),PVC,75000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/1000-liter-storage-matte-finished-plain-frp-water-storage-tank-8339283.html,"PVC Water Storage Tank - 12 Inch Diameter, 1000 Liter Capacity | Matte Black Finish, Cylindrical Design, 30 MPa Tensile Strength, 10.3mm Thickness",Water Storage Tank,5 Piece/Pieces,False,,Contact us for information regarding our sample policy,,Cylindrical,00,15,,5 Per Week,PVC,,Piece/Pieces,Water Storage,1000 Liter (L),00 Pound (lb),,False,pvc water storage tank  12 inch diameter 1000 liter capacity  matte black finish cylindrical design 30 mpa tensile strength 103mm thickness,1000.0,10
